query_id,method,P@10,MAP,nDCG@10
1048578,BM25,0.0,0.06666666666666667,0.0
1048578,Dense,0.1,1.0,1.0
1048578,Hybrid,0.0,0.09090909090909091,0.0
1048579,BM25,0.0,2.224397188361954e-05,0.0
1048579,Dense,0.1,1.0,1.0
1048579,Hybrid,0.0,2.58585022755482e-05,0.0
1048582,BM25,0.0,3.818980332251289e-05,0.0
1048582,Dense,0.1,1.0,1.0
1048582,Hybrid,0.0,0.0005521811154058532,0.0
1048583,BM25,0.0,3.125781445361341e-05,0.0
1048583,Dense,0.1,1.0,1.0
1048583,Hybrid,0.0,0.0005461496450027307,0.0
1048585,BM25,0.1,0.25,0.43067655807339306
1048585,Dense,0.1,1.0,1.0
1048585,Hybrid,0.1,0.25,0.43067655807339306
1048587,BM25,0.1,1.0,1.0
1048587,Dense,0.1,1.0,1.0
1048587,Hybrid,0.1,1.0,1.0
262156,BM25,0.1,1.0,1.0
262156,Dense,0.1,1.0,1.0
262156,Hybrid,0.1,1.0,1.0
2,BM25,0.1,1.0,1.0
2,Dense,0.1,1.0,1.0
2,Hybrid,0.1,1.0,1.0
1048600,BM25,0.1,1.0,1.0
1048600,Dense,0.1,1.0,1.0
1048600,Hybrid,0.1,1.0,1.0
1048601,BM25,0.0,7.61208799573723e-05,0.0
1048601,Dense,0.1,1.0,1.0
1048601,Hybrid,0.0,0.0004916420845624386,0.0
524318,BM25,0.0,0.0009202616902864356,0.0
524318,Dense,0.2,0.6666666666666666,0.8315546295836225
524318,Hybrid,0.0,0.005681981852225263,0.0
524332,BM25,0.0,0.00035198873636043646,0.0
524332,Dense,0.1,1.0,1.0
524332,Hybrid,0.0,0.0006775067750677507,0.0
1048621,BM25,0.0,0.005263157894736842,0.0
1048621,Dense,0.1,0.3333333333333333,0.5
1048621,Hybrid,0.0,0.005917159763313609,0.0
1048624,BM25,0.0,0.0036496350364963502,0.0
1048624,Dense,0.1,1.0,1.0
1048624,Hybrid,0.0,0.005747126436781609,0.0
1048625,BM25,0.0,0.0008952551477170994,0.0
1048625,Dense,0.1,1.0,1.0
1048625,Hybrid,0.0,0.001422475106685633,0.0
52,BM25,0.0,0.045454545454545456,0.0
52,Dense,0.1,1.0,1.0
52,Hybrid,0.0,0.07692307692307693,0.0
524341,BM25,0.2,0.45,0.6240505200038379
524341,Dense,0.2,0.8333333333333333,0.9197207891481876
524341,Hybrid,0.2,0.45,0.6240505200038379
58,BM25,0.1,1.0,1.0
58,Dense,0.1,1.0,1.0
58,Hybrid,0.1,1.0,1.0
1048636,BM25,0.0,3.391555027980329e-05,0.0
1048636,Dense,0.1,1.0,1.0
1048636,Hybrid,0.0,0.00037355248412401944,0.0
262207,BM25,0.0,0.0005844535359438924,0.0
262207,Dense,0.1,1.0,1.0
262207,Hybrid,0.0,0.0009107468123861566,0.0
